titleFull,cpc_group,best_year
BAKING; EDIBLE DOUGHS,A21,2015
MEDICAL OR VETERINARY SCIENCE; HYGIENE,A61,2016
MACHINE TOOLS; METAL-WORKING NOT OTHERWISE PROVIDED FOR,B23,2015
WORKING OF PLASTICS; WORKING OF SUBSTANCES IN A PLASTIC STATE IN GENERAL,B29,2007
PRINTING; LINING MACHINES; TYPEWRITERS; STAMPS,B41,2007
VEHICLES IN GENERAL,B60,2009
LAND VEHICLES FOR TRAVELLING OTHERWISE THAN ON RAILS,B62,2010
SHIPS OR OTHER WATERBORNE VESSELS; RELATED EQUIPMENT,B63,2014
DYES; PAINTS; POLISHES; NATURAL RESINS; ADHESIVES; COMPOSITIONS NOT OTHERWISE PROVIDED FOR; APPLICATIONS OF MATERIALS NOT OTHERWISE PROVIDED FOR,C09,2015
HYDRAULIC ENGINEERING; FOUNDATIONS; SOIL SHIFTING,E02,2012
LOCKS; KEYS; WINDOW OR DOOR FITTINGS; SAFES,E05,2012
COMBUSTION ENGINES; HOT-GAS OR COMBUSTION-PRODUCT ENGINE PLANTS,F02,2010
ENGINEERING ELEMENTS AND UNITS; GENERAL MEASURES FOR PRODUCING AND MAINTAINING EFFECTIVE FUNCTIONING OF MACHINES OR INSTALLATIONS; THERMAL INSULATION IN GENERAL,F16,2009
COMBUSTION APPARATUS; COMBUSTION PROCESSES,F23,2018
HEATING; RANGES; VENTILATING,F24,2018
WEAPONS,F41,2012
MEASURING; TESTING,G01,2008
OPTICS,G02,2016
SIGNALLING,G08,2017
ELECTRIC ELEMENTS,H01,2008
GENERATION; CONVERSION OR DISTRIBUTION OF ELECTRIC POWER,H02,2009
ELECTRONIC CIRCUITRY,H03,2015
ELECTRIC COMMUNICATION TECHNIQUE,H04,2015
